director_name,movie_title,movie_imdb_link,title_year,imdb_score
Brett Ratner,Rush Hour 3,https://www.imdb.com/title/tt0293564/?ref_=fn_tt_tt_1,2007,6.2
Roland Emmerich,2012,https://www.imdb.com/title/tt1190080/?ref_=fn_tt_tt_1,2009,5.8
Robert Zemeckis,A Christmas Carol,https://www.imdb.com/title/tt1067106/?ref_=fn_tt_tt_1,2009,6.8
Lana Wachowski,Jupiter Ascending,https://www.imdb.com/title/tt1617661/?ref_=fn_tt_tt_1,2015,5.4
David Yates,The Legend of Tarzan,https://www.imdb.com/title/tt0918940/?ref_=fn_tt_tt_1,2016,6.6
Andrew Adamson,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",https://www.imdb.com/title/tt0363771/?ref_=fn_tt_tt_1,2005,6.9
Bryan Singer,X-Men: Apocalypse,https://www.imdb.com/title/tt3385516/?ref_=fn_tt_tt_1,2016,7.3
Christopher Nolan,The Dark Knight,https://www.imdb.com/title/tt0468569/?ref_=fn_tt_tt_1,2008,9
Pete Docter,Up,https://www.imdb.com/title/tt1049413/?ref_=fn_tt_tt_1,2009,8.3
Rob Letterman,Monsters vs. Aliens,https://www.imdb.com/title/tt0892782/?ref_=fn_tt_tt_1,2009,6.5
Jon Favreau,Iron Man,https://www.imdb.com/title/tt0371746/?ref_=fn_tt_tt_1,2008,7.9
Martin Scorsese,Hugo,https://www.imdb.com/title/tt0970179/?ref_=fn_tt_tt_1,2011,7.5
Barry Sonnenfeld,Wild Wild West,https://www.imdb.com/title/tt0120891/?ref_=fn_tt_tt_1,1999,4.8
Rob Cohen,The Mummy: Tomb of the Dragon Emperor,https://www.imdb.com/title/tt0859163/?ref_=fn_tt_tt_1,2008,5.2
David Ayer,Suicide Squad,https://www.imdb.com/title/tt1386697/?ref_=fn_tt_tt_1,2016,6.9
Tom Shadyac,Evan Almighty,https://www.imdb.com/title/tt0413099/?ref_=fn_tt_tt_1,2007,5.4
Doug Liman,Edge of Tomorrow,https://www.imdb.com/title/tt1631867/?ref_=fn_tt_tt_1,2014,7.9
Kevin Reynolds,Waterworld,https://www.imdb.com/title/tt0114898/?ref_=fn_tt_tt_1,1995,6.1
Stephen Sommers,G.I. Joe: The Rise of Cobra,https://www.imdb.com/title/tt1046173/?ref_=fn_tt_tt_1,2009,5.8
Pete Docter,Inside Out,https://www.imdb.com/title/tt2096673/?ref_=fn_tt_tt_1,2015,8.3
Jon Favreau,The Jungle Book,https://www.imdb.com/title/tt3040964/?ref_=fn_tt_tt_1,2016,7.8
Jon Favreau,Iron Man 2,https://www.imdb.com/title/tt1228705/?ref_=fn_tt_tt_1,2010,7
Rupert Sanders,Snow White and the Huntsman,https://www.imdb.com/title/tt1735898/?ref_=fn_tt_tt_1,2012,6.1
Robert Stromberg,Maleficent,https://www.imdb.com/title/tt1587310/?ref_=fn_tt_tt_1,2014,7
Matt Reeves,Dawn of the Planet of the Apes,https://www.imdb.com/title/tt2103281/?ref_=fn_tt_tt_1,2014,7.6
Roland Joffé,The Lovers,https://www.imdb.com/title/tt1321869/?ref_=fn_tt_tt_1,2015,4.5
Carl Rinsch,47 Ronin,https://www.imdb.com/title/tt1335975/?ref_=fn_tt_tt_1,2013,6.3
Anthony Russo,Captain America: The Winter Soldier,https://www.imdb.com/title/tt1843866/?ref_=fn_tt_tt_1,2014,7.8
Mike Mitchell,Shrek Forever After,https://www.imdb.com/title/tt0892791/?ref_=fn_tt_tt_1,2010,6.4
Brad Bird,Tomorrowland,https://www.imdb.com/title/tt1964418/?ref_=fn_tt_tt_1,2015,6.5
Don Hall,Big Hero 6,https://www.imdb.com/title/tt2245084/?ref_=fn_tt_tt_1,2014,7.9
Rich Moore,Wreck-It Ralph,https://www.imdb.com/title/tt1772341/?ref_=fn_tt_tt_1,2012,7.8
Robert Zemeckis,The Polar Express,https://www.imdb.com/title/tt0338348/?ref_=fn_tt_tt_1,2004,6.6
Roland Emmerich,Independence Day: Resurgence,https://www.imdb.com/title/tt1628841/?ref_=fn_tt_tt_1,2016,5.5
Dean DeBlois,How to Train Your Dragon,https://www.imdb.com/title/tt0892769/?ref_=fn_tt_tt_1,2010,8.2
Jonathan Mostow,Terminator 3: Rise of the Machines,https://www.imdb.com/title/tt0181852/?ref_=fn_tt_tt_1,2003,6.4
James Gunn,Guardians of the Galaxy,https://www.imdb.com/title/tt2015381/?ref_=fn_tt_tt_1,2014,8.1
Christopher Nolan,Interstellar,https://www.imdb.com/title/tt0816692/?ref_=fn_tt_tt_1,2014,8.6
Christopher Nolan,Inception,https://www.imdb.com/title/tt1375666/?ref_=fn_tt_tt_1,2010,8.8
Hideaki Anno,Godzilla Resurgence,https://www.imdb.com/title/tt4262980/?ref_=fn_tt_tt_1,2016,8.2
Peter Jackson,The Hobbit: An Unexpected Journey,https://www.imdb.com/title/tt0903624/?ref_=fn_tt_tt_1,2012,7.9
Rob Cohen,The Fast and the Furious,https://www.imdb.com/title/tt0232500/?ref_=fn_tt_tt_1,2001,6.7
David Fincher,The Curious Case of Benjamin Button,https://www.imdb.com/title/tt0421715/?ref_=fn_tt_tt_1,2008,7.8
Matthew Vaughn,X-Men: First Class,https://www.imdb.com/title/tt1270798/?ref_=fn_tt_tt_1,2011,7.8
Francis Lawrence,The Hunger Games: Mockingjay - Part 2,https://www.imdb.com/title/tt1951266/?ref_=fn_tt_tt_1,2015,6.6
Jon Turteltaub,The Sorcerer's Apprentice,https://www.imdb.com/title/tt0963966/?ref_=fn_tt_tt_1,2010,6.1
Wolfgang Petersen,Poseidon,https://www.imdb.com/title/tt0409182/?ref_=fn_tt_tt_1,2006,5.6
James Bobin,Alice Through the Looking Glass,https://www.imdb.com/title/tt2567026/?ref_=fn_tt_tt_1,2016,6.4
Chris Miller,Shrek the Third,https://www.imdb.com/title/tt0413267/?ref_=fn_tt_tt_1,2007,6.1
Duncan Jones,Warcraft,https://www.imdb.com/title/tt0803096/?ref_=fn_tt_tt_1,2016,7.3
Alan Taylor,Terminator Genisys,https://www.imdb.com/title/tt1340138/?ref_=fn_tt_tt_1,2015,6.6
Michael Apted,The Chronicles of Narnia: The Voyage of the Dawn Treader,https://www.imdb.com/title/tt0980970/?ref_=fn_tt_tt_1,2010,6.3
Michael Bay,Pearl Harbor,https://www.imdb.com/title/tt0213149/?ref_=fn_tt_tt_1,2001,6.1
Michael Bay,Transformers,https://www.imdb.com/title/tt0418279/?ref_=fn_tt_tt_1,2007,7.1
Oliver Stone,Alexander,https://www.imdb.com/title/tt0346491/?ref_=fn_tt_tt_1,2004,5.5
David Yates,Harry Potter and the Order of the Phoenix,https://www.imdb.com/title/tt0373889/?ref_=fn_tt_tt_1,2007,7.5
Mike Newell,Harry Potter and the Goblet of Fire,https://www.imdb.com/title/tt0330373/?ref_=fn_tt_tt_1,2005,7.6
Peter Berg,Hancock,https://www.imdb.com/title/tt0448157/?ref_=fn_tt_tt_1,2008,6.4
Francis Lawrence,I Am Legend,https://www.imdb.com/title/tt0480249/?ref_=fn_tt_tt_1,2007,7.2
Tim Burton,Charlie and the Chocolate Factory,https://www.imdb.com/title/tt0367594/?ref_=fn_tt_tt_1,2005,6.7
Brad Bird,Ratatouille,https://www.imdb.com/title/tt0382932/?ref_=fn_tt_tt_1,2007,8
Christopher Nolan,Batman Begins,https://www.imdb.com/title/tt0372784/?ref_=fn_tt_tt_1,2005,8.3
Eric Darnell,Madagascar: Escape 2 Africa,https://www.imdb.com/title/tt0479952/?ref_=fn_tt_tt_1,2008,6.7
Shawn Levy,Night at the Museum: Battle of the Smithsonian,https://www.imdb.com/title/tt1078912/?ref_=fn_tt_tt_1,2009,5.9
Gavin Hood,X-Men Origins: Wolverine,https://www.imdb.com/title/tt0458525/?ref_=fn_tt_tt_1,2009,6.7
Lana Wachowski,The Matrix Revolutions,https://www.imdb.com/title/tt0242653/?ref_=fn_tt_tt_1,2003,6.7
Chris Buck,Frozen,https://www.imdb.com/title/tt2294629/?ref_=fn_tt_tt_1,2013,7.6
Lana Wachowski,The Matrix Reloaded,https://www.imdb.com/title/tt0234215/?ref_=fn_tt_tt_1,2003,7.2
Alan Taylor,Thor: The Dark World,https://www.imdb.com/title/tt1981115/?ref_=fn_tt_tt_1,2013,7.1
George Miller,Mad Max: Fury Road,https://www.imdb.com/title/tt1392190/?ref_=fn_tt_tt_1,2015,8.1
Ron Howard,Angels & Demons,https://www.imdb.com/title/tt0808151/?ref_=fn_tt_tt_1,2009,6.7
Kenneth Branagh,Thor,https://www.imdb.com/title/tt0800369/?ref_=fn_tt_tt_1,2011,7
Byron Howard,Bolt,https://www.imdb.com/title/tt0397892/?ref_=fn_tt_tt_1,2008,6.9
Hoyt Yeatman,G-Force,https://www.imdb.com/title/tt0436339/?ref_=fn_tt_tt_1,2009,5.1
Jonathan Liebesman,Wrath of the Titans,https://www.imdb.com/title/tt1646987/?ref_=fn_tt_tt_1,2012,5.8
Tim Burton,Dark Shadows,https://www.imdb.com/title/tt1077368/?ref_=fn_tt_tt_1,2012,6.2
Christopher McQuarrie,Mission: Impossible - Rogue Nation,https://www.imdb.com/title/tt2381249/?ref_=fn_tt_tt_1,2015,7.4
Joe Johnston,The Wolfman,https://www.imdb.com/title/tt0780653/?ref_=fn_tt_tt_1,2010,5.8
David Yates,The Legend of Tarzan,https://www.imdb.com/title/tt0918940/?ref_=fn_tt_tt_1,2016,6.6
Steve Hickner,Bee Movie,https://www.imdb.com/title/tt0389790/?ref_=fn_tt_tt_1,2007,6.2
Jennifer Yuh Nelson,Kung Fu Panda 2,https://www.imdb.com/title/tt1302011/?ref_=fn_tt_tt_1,2011,7.3
M. Night Shyamalan,The Last Airbender,https://www.imdb.com/title/tt0938283/?ref_=fn_tt_tt_1,2010,4.2
J.J. Abrams,Mission: Impossible III,https://www.imdb.com/title/tt0317919/?ref_=fn_tt_tt_1,2006,6.9
Roland Emmerich,White House Down,https://www.imdb.com/title/tt2334879/?ref_=fn_tt_tt_1,2013,6.4
Simon Wells,Mars Needs Moms,https://www.imdb.com/title/tt1305591/?ref_=fn_tt_tt_1,2011,5.4
David Bowers,Flushed Away,https://www.imdb.com/title/tt0424095/?ref_=fn_tt_tt_1,2006,6.7
Joe Wright,Pan,https://www.imdb.com/title/tt3332064/?ref_=fn_tt_tt_1,2015,5.8
Rob Minkoff,Mr. Peabody & Sherman,https://www.imdb.com/title/tt0864835/?ref_=fn_tt_tt_1,2014,6.9
Wolfgang Petersen,Troy,https://www.imdb.com/title/tt0332452/?ref_=fn_tt_tt_1,2004,7.2
Eric Darnell,Madagascar 3: Europe's Most Wanted,https://www.imdb.com/title/tt1277953/?ref_=fn_tt_tt_1,2012,6.9
Lee Tamahori,Die Another Day,https://www.imdb.com/title/tt0246460/?ref_=fn_tt_tt_1,2002,6.1
Paul Feig,Ghostbusters,https://www.imdb.com/title/tt1289401/?ref_=fn_tt_tt_1,2016,5.5
Michael Bay,Armageddon,https://www.imdb.com/title/tt0120591/?ref_=fn_tt_tt_1,1998,6.6
Barry Sonnenfeld,Men in Black II,https://www.imdb.com/title/tt0120912/?ref_=fn_tt_tt_1,2002,6.1
Robert Zemeckis,Beowulf,https://www.imdb.com/title/tt0442933/?ref_=fn_tt_tt_1,2007,6.3
Alessandro Carloni,Kung Fu Panda 3,https://www.imdb.com/title/tt2267968/?ref_=fn_tt_tt_1,2016,7.2
Brad Bird,Mission: Impossible - Ghost Protocol,https://www.imdb.com/title/tt1229238/?ref_=fn_tt_tt_1,2011,7.4
Peter Ramsey,Rise of the Guardians,https://www.imdb.com/title/tt1446192/?ref_=fn_tt_tt_1,2012,7.3
Dean Parisot,Fun with Dick and Jane,https://www.imdb.com/title/tt0369441/?ref_=fn_tt_tt_1,2005,6.1
Edward Zwick,The Last Samurai,https://www.imdb.com/title/tt0325710/?ref_=fn_tt_tt_1,2003,7.7
Ridley Scott,Exodus: Gods and Kings,https://www.imdb.com/title/tt1528100/?ref_=fn_tt_tt_1,2014,6.1
J.J. Abrams,Star Trek,https://www.imdb.com/title/tt0796366/?ref_=fn_tt_tt_1,2009,8
Sam Raimi,Spider-Man,https://www.imdb.com/title/tt0145487/?ref_=fn_tt_tt_1,2002,7.3
Dean DeBlois,How to Train Your Dragon 2,https://www.imdb.com/title/tt1646971/?ref_=fn_tt_tt_1,2014,7.9
Alex Proyas,Gods of Egypt,https://www.imdb.com/title/tt2404233/?ref_=fn_tt_tt_1,2016,5.5
Rob Cohen,Stealth,https://www.imdb.com/title/tt0382992/?ref_=fn_tt_tt_1,2005,5
Zack Snyder,Watchmen,https://www.imdb.com/title/tt0409459/?ref_=fn_tt_tt_1,2009,7.7
Richard Donner,Lethal Weapon 4,https://www.imdb.com/title/tt0122151/?ref_=fn_tt_tt_1,1998,6.6
Ang Lee,Hulk,https://www.imdb.com/title/tt0286716/?ref_=fn_tt_tt_1,2003,5.7
Jon M. Chu,G.I. Joe: Retaliation,https://www.imdb.com/title/tt1583421/?ref_=fn_tt_tt_1,2013,5.8
Breck Eisner,Sahara,https://www.imdb.com/title/tt0318649/?ref_=fn_tt_tt_1,2005,6
Hironobu Sakaguchi,Final Fantasy: The Spirits Within,https://www.imdb.com/title/tt0173840/?ref_=fn_tt_tt_1,2001,6.4
Joe Johnston,Captain America: The First Avenger,https://www.imdb.com/title/tt0458339/?ref_=fn_tt_tt_1,2011,6.9
Michael Apted,The World Is Not Enough,https://www.imdb.com/title/tt0143145/?ref_=fn_tt_tt_1,1999,6.4
Peter Weir,Master and Commander: The Far Side of the World,https://www.imdb.com/title/tt0311113/?ref_=fn_tt_tt_1,2003,7.4
Bill Condon,The Twilight Saga: Breaking Dawn - Part 2,https://www.imdb.com/title/tt1673434/?ref_=fn_tt_tt_1,2012,5.5
George Miller,Happy Feet 2,https://www.imdb.com/title/tt1402488/?ref_=fn_tt_tt_1,2011,5.9
Louis Leterrier,The Incredible Hulk,https://www.imdb.com/title/tt0800080/?ref_=fn_tt_tt_1,2008,6.8
,Miami Vice,https://www.imdb.com/title/tt0086759/?ref_=fn_tt_tt_1,,7.5
Steven Spielberg,The BFG,https://www.imdb.com/title/tt3691740/?ref_=fn_tt_tt_1,2016,6.8
Alejandro G. Iñárritu,The Revenant,https://www.imdb.com/title/tt1663202/?ref_=fn_tt_tt_1,2015,8.1
David Soren,Turbo,https://www.imdb.com/title/tt1860353/?ref_=fn_tt_tt_1,2013,6.5
Gore Verbinski,Rango,https://www.imdb.com/title/tt1192628/?ref_=fn_tt_tt_1,2011,7.2
Eric Darnell,Penguins of Madagascar,https://www.imdb.com/title/tt1911658/?ref_=fn_tt_tt_1,2014,6.7
Paul Greengrass,The Bourne Ultimatum,https://www.imdb.com/title/tt0440963/?ref_=fn_tt_tt_1,2007,8.1
Mark Osborne,Kung Fu Panda,https://www.imdb.com/title/tt0441773/?ref_=fn_tt_tt_1,2008,7.6
Peyton Reed,Ant-Man,https://www.imdb.com/title/tt0478970/?ref_=fn_tt_tt_1,2015,7.4
Francis Lawrence,The Hunger Games: Catching Fire,https://www.imdb.com/title/tt1951264/?ref_=fn_tt_tt_1,2013,7.6
Bill Condon,The Twilight Saga: Breaking Dawn - Part 2,https://www.imdb.com/title/tt1673434/?ref_=fn_tt_tt_1,2012,5.5
Tim Johnson,Home,https://www.imdb.com/title/tt2224026/?ref_=fn_tt_tt_1,2015,6.7
Steven Spielberg,War of the Worlds,https://www.imdb.com/title/tt0407304/?ref_=fn_tt_tt_1,2005,6.5
Michael Bay,Bad Boys II,https://www.imdb.com/title/tt0172156/?ref_=fn_tt_tt_1,2003,6.6
Chris Miller,Puss in Boots,https://www.imdb.com/title/tt0448694/?ref_=fn_tt_tt_1,2011,6.7
Phillip Noyce,Salt,https://www.imdb.com/title/tt0944835/?ref_=fn_tt_tt_1,2010,6.4
Darren Aronofsky,Noah,https://www.imdb.com/title/tt1959490/?ref_=fn_tt_tt_1,2014,5.8
Steven Spielberg,The Adventures of Tintin,https://www.imdb.com/title/tt0983193/?ref_=fn_tt_tt_1,2011,7.4
Alfonso Cuarón,Harry Potter and the Prisoner of Azkaban,https://www.imdb.com/title/tt0304141/?ref_=fn_tt_tt_1,2004,7.8
Baz Luhrmann,Australia,https://www.imdb.com/title/tt0455824/?ref_=fn_tt_tt_1,2008,6.6
M. Night Shyamalan,After Earth,https://www.imdb.com/title/tt1815862/?ref_=fn_tt_tt_1,2013,4.9
Eric Leighton,Dinosaur,https://www.imdb.com/title/tt0130623/?ref_=fn_tt_tt_1,2000,6.5
Matt Birch,Harry Potter and the Deathly Hallows: Part II,https://www.imdb.com/title/tt1680310/?ref_=fn_tt_tt_1,2011,7.5
Shawn Levy,Night at the Museum: Secret of the Tomb,https://www.imdb.com/title/tt2692250/?ref_=fn_tt_tt_1,2014,6.2
Tom McGrath,Megamind,https://www.imdb.com/title/tt1001526/?ref_=fn_tt_tt_1,2010,7.3
Chris Columbus,Harry Potter and the Sorcerer's Stone,https://www.imdb.com/title/tt0241527/?ref_=fn_tt_tt_1,2001,7.5
Robert Schwentke,R.I.P.D.,https://www.imdb.com/title/tt0790736/?ref_=fn_tt_tt_1,2013,5.6
Hideaki Anno,Godzilla Resurgence,https://www.imdb.com/title/tt4262980/?ref_=fn_tt_tt_1,2016,8.2
Gore Verbinski,Pirates of the Caribbean: The Curse of the Black Pearl,https://www.imdb.com/title/tt0325980/?ref_=fn_tt_tt_1,2003,8.1
Matt Birch,Harry Potter and the Deathly Hallows: Part I,https://www.imdb.com/title/tt1571403/?ref_=fn_tt_tt_1,2010,6.4
Francis Lawrence,The Hunger Games: Mockingjay - Part 1,https://www.imdb.com/title/tt1951265/?ref_=fn_tt_tt_1,2014,6.7
Ron Howard,The Da Vinci Code,https://www.imdb.com/title/tt0382625/?ref_=fn_tt_tt_1,2006,6.6
Carlos Saldanha,Rio 2,https://www.imdb.com/title/tt2357291/?ref_=fn_tt_tt_1,2014,6.4
Bryan Singer,X-Men 2,https://www.imdb.com/title/tt0290334/?ref_=fn_tt_tt_1,2003,7.5
Justin Lin,Fast Five,https://www.imdb.com/title/tt1596343/?ref_=fn_tt_tt_1,2011,7.3
Guy Ritchie,Sherlock Holmes: A Game of Shadows,https://www.imdb.com/title/tt1515091/?ref_=fn_tt_tt_1,2011,7.5
Louis Leterrier,Clash of the Titans,https://www.imdb.com/title/tt0800320/?ref_=fn_tt_tt_1,2010,5.8
Paul Verhoeven,Total Recall,https://www.imdb.com/title/tt0100802/?ref_=fn_tt_tt_1,1990,7.5
John McTiernan,The 13th Warrior,https://www.imdb.com/title/tt0120657/?ref_=fn_tt_tt_1,1999,6.6
Tony Gilroy,The Bourne Legacy,https://www.imdb.com/title/tt1194173/?ref_=fn_tt_tt_1,2012,6.7
Joel Schumacher,Batman & Robin,https://www.imdb.com/title/tt0118688/?ref_=fn_tt_tt_1,1997,3.7
Ron Howard,How the Grinch Stole Christmas,https://www.imdb.com/title/tt0170016/?ref_=fn_tt_tt_1,2000,6
Roland Emmerich,The Day After Tomorrow,https://www.imdb.com/title/tt0319262/?ref_=fn_tt_tt_1,2004,6.4
John Woo,Mission: Impossible II,https://www.imdb.com/title/tt0120755/?ref_=fn_tt_tt_1,2000,6.1
Wolfgang Petersen,The Perfect Storm,https://www.imdb.com/title/tt0177971/?ref_=fn_tt_tt_1,2000,6.4
Tim Story,Fantastic 4: Rise of the Silver Surfer,https://www.imdb.com/title/tt0486576/?ref_=fn_tt_tt_1,2007,5.6
Ang Lee,Life of Pi,https://www.imdb.com/title/tt0454876/?ref_=fn_tt_tt_1,2012,8
Mark Steven Johnson,Ghost Rider,https://www.imdb.com/title/tt0259324/?ref_=fn_tt_tt_1,2007,5.2
Paul Greengrass,Jason Bourne,https://www.imdb.com/title/tt4196776/?ref_=fn_tt_tt_1,2016,7.1
McG,Charlie's Angels: Full Throttle,https://www.imdb.com/title/tt0305357/?ref_=fn_tt_tt_1,2003,4.8
Ridley Scott,Prometheus,https://www.imdb.com/title/tt1446714/?ref_=fn_tt_tt_1,2012,7
Rob Minkoff,Stuart Little 2,https://www.imdb.com/title/tt0243585/?ref_=fn_tt_tt_1,2002,5.4
Neill Blomkamp,Elysium,https://www.imdb.com/title/tt1535108/?ref_=fn_tt_tt_1,2013,6.6
David Twohy,The Chronicles of Riddick,https://www.imdb.com/title/tt0296572/?ref_=fn_tt_tt_1,2004,6.7
José Padilha,RoboCop,https://www.imdb.com/title/tt1234721/?ref_=fn_tt_tt_1,2014,6.2
Lana Wachowski,Speed Racer,https://www.imdb.com/title/tt0811080/?ref_=fn_tt_tt_1,2008,6.1
James L. Brooks,How Do You Know,https://www.imdb.com/title/tt1341188/?ref_=fn_tt_tt_1,2010,5.3
James Mangold,Knight and Day,https://www.imdb.com/title/tt1013743/?ref_=fn_tt_tt_1,2010,6.3
